epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30779.5,2.3249,1.85782,1.25831,0.41692,0.27151,0.22777,0.07926,2.2602,1.95622,1.33287,0.000540037,0.000540037,0.000540037
43,31414.9,2.3252,1.87342,1.25925,0.41744,0.31251,0.24174,0.08355,2.25628,1.96061,1.32943,0.000531038,0.000531038,0.000531038
44,32049.9,2.30407,1.85397,1.2515,0.47775,0.25754,0.24877,0.08662,2.2477,1.93062,1.34751,0.000522039,0.000522039,0.000522039
45,32684.4,2.30446,1.85806,1.25602,0.42113,0.27716,0.23688,0.08317,2.25229,1.92845,1.33797,0.00051304,0.00051304,0.00051304
46,33316.1,2.30421,1.848,1.25192,0.4489,0.27667,0.24019,0.08278,2.24986,1.92535,1.33283,0.00050404,0.00050404,0.00050404
47,33950.9,2.30317,1.83753,1.24836,0.47439,0.27725,0.27092,0.0932,2.24394,1.88929,1.33347,0.000495041,0.000495041,0.000495041
48,34584.5,2.29301,1.83247,1.24817,0.41503,0.27954,0.22847,0.08055,2.22756,1.91407,1.3295,0.000486042,0.000486042,0.000486042
49,35215.9,2.28493,1.81249,1.24586,0.43052,0.2721,0.23395,0.08245,2.2403,1.92059,1.34175,0.000477043,0.000477043,0.000477043
50,35849.4,2.28521,1.80045,1.24472,0.46332,0.29893,0.26018,0.09058,2.24627,1.8856,1.34003,0.000468044,0.000468044,0.000468044
51,36479.9,2.29228,1.80936,1.2523,0.31426,0.29618,0.26456,0.0915,2.23276,1.89714,1.32782,0.000459045,0.000459045,0.000459045
52,37107.8,2.29434,1.80394,1.24041,0.46557,0.30664,0.2678,0.09292,2.22589,1.87614,1.32651,0.000450046,0.000450046,0.000450046
53,37736.7,2.28327,1.8015,1.24403,0.46217,0.29298,0.26259,0.0908,2.23982,1.90635,1.32828,0.000441047,0.000441047,0.000441047
54,38365.7,2.28587,1.80187,1.25007,0.4384,0.31591,0.26145,0.08898,2.2578,1.86438,1.35077,0.000432048,0.000432048,0.000432048
55,38998.5,2.28319,1.79001,1.23932,0.42397,0.29247,0.25442,0.08647,2.23718,1.88471,1.33202,0.000423049,0.000423049,0.000423049
56,39702.1,2.27915,1.78919,1.24681,0.45113,0.30087,0.25536,0.08674,2.24208,1.8836,1.33596,0.000414049,0.000414049,0.000414049
