epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,137417,1.69913,1.3845,1.25885,0.7273,0.59137,0.6512,0.40451,1.46884,1.16267,1.20349,0.002905,0.002905,0.002905
45,141432,1.68567,1.36822,1.25341,0.73302,0.5965,0.65733,0.40933,1.45893,1.14811,1.19789,0.00274,0.00274,0.00274
46,144460,1.67701,1.35156,1.24834,0.73904,0.60002,0.66307,0.41418,1.44938,1.13403,1.19242,0.002575,0.002575,0.002575
47,147353,1.66902,1.33671,1.2416,0.74492,0.60527,0.66912,0.41896,1.44024,1.12075,1.18721,0.00241,0.00241,0.00241
48,151317,1.6544,1.31743,1.23486,0.74875,0.61044,0.67478,0.42357,1.43131,1.10748,1.18203,0.002245,0.002245,0.002245
49,155100,1.64143,1.29925,1.22824,0.75468,0.61439,0.68023,0.4281,1.42231,1.09439,1.17699,0.00208,0.00208,0.00208
50,158299,1.63486,1.28888,1.2249,0.75926,0.61861,0.68553,0.43262,1.41341,1.08132,1.17195,0.001915,0.001915,0.001915
51,162062,1.5419,1.14294,1.20368,0.76251,0.6249,0.69145,0.43753,1.40403,1.06781,1.16694,0.00175,0.00175,0.00175
52,165937,1.51202,1.10579,1.18869,0.76641,0.63021,0.69704,0.44235,1.39449,1.05407,1.16189,0.001585,0.001585,0.001585
53,169839,1.48839,1.07951,1.17705,0.76992,0.63546,0.70235,0.44705,1.3849,1.04047,1.15676,0.00142,0.00142,0.00142
54,173641,1.47626,1.06448,1.17223,0.77345,0.64108,0.70736,0.45165,1.37545,1.027,1.15188,0.001255,0.001255,0.001255
55,177560,1.45574,1.0409,1.16088,0.77702,0.64522,0.71232,0.4561,1.36631,1.01412,1.14714,0.00109,0.00109,0.00109
56,181463,1.43903,1.02677,1.15359,0.78269,0.64889,0.71718,0.46051,1.35735,1.0015,1.14235,0.000925,0.000925,0.000925
57,185375,1.42247,1.00995,1.14822,0.785,0.654,0.72171,0.46465,1.34863,0.98919,1.13765,0.00076,0.00076,0.00076
